ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Utilization activity,Metabolite (production)
130778,9NM-14,"DSM 27574, CCTCC AB 2014273, GIMCC 1.659, KCTC 52627",1,1,Lysobacter mobilis,+,indole
17489,GH41-7,"DSM 18481, CIP 109587, KACC 11588",1,1,Lysobacter niastensis,+,indole
166108,83-4,"CGMCC 1.13464, NRBC 113451",1,1,Lysobacter oculi,+,indole
158751,D-14,"KEMB 9005-572, KACC 19173, JCM 31917",1,1,Lysobacter olei,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
17495,"YC6269, Z 3-12","DSM 21044, KCTC 22249",1,1,Lysobacter oryzae,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
131176,CJ29,"DSM 101805, JCM 19212, KACC 17502",1,1,Lysobacter panacisoli,+,indole
166306,,"KCTC 72062, CGMCC 1.16662, SYSU H10001",1,1,Lysobacter prati,+,hydrogen sulfide
166459,ZS60,"CGMCC 1.15509, NBRC 112614",1,1,Lysobacter psychrotolerans,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
164449,17J68-2,"JCM 33058, KCTC 62237",1,1,Lysobacter segetis,+,indole
157768,AM20-91,"DSM 104734, LMG 30011",1,1,Lysobacter silvestris,+,indole
140463,T20R-70,"KACC 18656, NBRC 111881",1,1,Lysobacter solanacearum,+,indole
166520,C8-1,"KCTC 62034, CGMCC 1.16271",1,1,Lysobacter tabacisoli,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
140893,5GH218-14,"KACC 16954, JCM 30862",1,1,Lysobacter terricola,+,indole
164448,17J7-1,"JCM 33057, KCTC 62217",1,1,Lysobacter terrigena,+,indole
17485,GH19-3,"DSM 17635, CIP 109293, CCUG 55493, KACC 11407",1,1,Lysobacter yangpyeongensis,+,indole
14421,"C2F4, DD4516, DD 4516","CCUG 38365, CCM 4655, DSM 15607, ATCC 51825, CIP 105714",1,1,Macrococcus bovicus,+,indole
14423,,"DSM 19358, CCM 4811, CCUG 47200, CIP 108167, LMG 21712",1,1,Macrococcus brunensis,+,acetoin
,,,,,,,indole
133084,KM 45013,"DSM 101690, CCOS 969, CCUG 68920, CIP 111363",1,1,Macrococcus canis,+,acetoin
14420,"DD9348, H8b16, DD 9348","DSM 15608, ATCC 51828, CCUG 38360, CCM 4650, CIP 105711",1,1,Macrococcus carouselicus,+,indole
14419,235,"CCUG 15606, DSM 20597, ATCC 13548",1,1,Macrococcoides caseolyticum subsp. caseolyticum,+,acetoin
157750,NRL/St 01/688,"DSM 103681, CCM 7099",1,1,Macrococcus epidermidis,+,acetoin
14422,"DD9350, H8h3, DD 9350","DSM 15609, ATCC 51831, CCUG 38363, CCM 4653, CIP 105716",1,1,Macrococcus equipercicus,+,acetoin
,,,,,,,indole
157752,NRL/St 00/957,"DSM 103683, CCM 4927",1,1,Macrococcus goetzii,+,acetoin
14424,,"DSM 19357, CCM 4809, CCUG 47201, CIP 108166, LMG 21711",1,1,Macrococcus hajekii,+,acetoin
,,,,,,,indole
14425,,"DSM 19359, CCM 4815, CCUG 47199, CIP 108165, LMG 21713",1,1,Macrococcus lamae,+,acetoin
,,,,,,,indole
2978,P1,"DSM 15619, CIP 108194, JCM 12706, CCUG 64012",1,1,Malikia granosa,+,indole
13854,JLT354-W,"DSM 26384, CGMCC 1.7290, LMG 24665",1,1,Mameliella alba,+,indole
14648,241,"DSM 13212, ATCC BAA-274, CIP 106114, CCUG 43834",1,1,Staphylococcus fleurettii,+,indole
14561,K 21,"DSM 20352, ATCC 29070, CCUG 15599, JCM 2426, BCRC 12926, CCM 3472, CIP 81.63, LMG 21025, NCTC 12102, NRRL B-14758",1,1,Staphylococcus lentus,+,indole
14631,,"DSM 20345, ATCC 29062, BCRC 12927, CCM 3473, CCUG 15598, CNCTC 5683, JCM 2425, NCTC 12103, SC 116, CIP 81.62, MTCC 6154, NRRL B-14777",1,1,Staphylococcus sciuri,+,acetoin
,,,,,,,indole
14680,196,"DSM 26319, CCM 7717, PCM 2693, CCUG 72271, CIP 111012",1,1,Staphylococcus stepanovicii,+,acetoin
14660,DD756,"CCUG 33636, DSM 15615, ATCC 51145, CIP 104850",1,1,Staphylococcus vitulinus,+,acetoin
,,,,,,,indole
140470,MP23,"KCTC 42580, DSM 100250",1,1,Mangrovibacter phragmitis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
132226,TULL-A,"DSM 103673, ACCC 19709, KCTC 42181",1,1,Mangrovibacter yixingensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
159731,5T4P-12-1,"KCTC 62053, CGMCC 1.16279",1,1,Mangrovicella endophytica,+,hydrogen sulfide
,,,,,,,indole
159777,T1lg56,"CCTCC AB 2016238, KCTC 52623",1,1,Mangrovicoccus ximenensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
140578,S3Cf-2,"DSM 100693, CGMCC 4.7299",1,1,Mangrovihabitans endophyticus,+,hydrogen sulfide
158538,M11-4,"MCCC 1K03312, JCM 32104",1,1,Mangrovitalea sediminis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
11727,T138021-75,"DSM 23207, CCUG 59995, HIM 1028-5",1,1,Mannheimia caviae,+,acetoin
,,,,,,,indole
11723,"B558, P925","DSM 19638, CCUG 38457, CIP 106063",1,1,Mannheimia glucosida,+,indole
11722,26,"DSM 19156, ATCC 49244, CIP 103433, CCUG 45422",1,1,Mannheimia granulomatis,+,indole
11721,"1266/56A&B, 1266 A & B","DSM 10531, ATCC 33396, NCTC 9380, CIP 103426, CCM 5141, CCUG 408",1,1,Mannheimia haemolytica,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
175512,M14.4,"DSM 116804, CCUG 77347",1,1,Mannheimia indoligenes,+,indole
166412,ZY170218,"CGMCC 1.13620, KCTC 15731",1,1,Mannheimia pernigra,+,indole
11724,,"DSM 21141, CCUG 38470, CIP 106062, HPA 92",1,1,Mannheimia ruminalis,+,indole
11725,177,"DSM 19166, CCUG 38462, CIP 106064",1,1,Mannheimia varigena,+,indole
164418,PoM-212,"JCM 32941, KACC 19789",1,1,Maribacter algicola,+,indole
5606,,"KMM 3949, CIP 108495, DSM 16478, CCUG 48009, KCTC 12968",1,1,Maribacter aquivivus,+,indole
133202,,"CAU 1321, KCTC 52191, NBRC 111990",1,1,Maribacter arenosus,+,acetoin
,,,,,,,indole
141154,B1,"CGMCC 1.15508, KCTC 52882, MCCC 1K03318",1,1,Maribacter cobaltidurans,+,indole
5608,DSW-8,"DSM 17201, KCTC 12393, CIP 108966",1,1,Maribacter dokdonensis,+,indole
5612,"KT02ds 18-6, ODDS18-6, KT02ds18-6","DSM 18668, CIP 109504",1,1,Maribacter forsetii,+,indole
159839,SDRB-Phe2,"JCM 32373, KCTC 62273, DSM 106042",1,1,Maribacter litoralis,+,indole
140859,KJ4,"KACC 16438, JCM 31154",1,1,Maribacter lutimaris,+,indole
159865,HMF3635,"KCTC 52399, NBRC 112671",1,1,Maribacter maritimus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
5605,,"DSM 16471, CCUG 48008, KCTC 12967, KCTC 42563, KMM 3947, CIP 108494",1,1,Maribacter orientalis,+,indole
140774,CBA3204,"KACC 17671, JCM 19533",1,1,Maribacter pelagius,+,indole
5604,,"DSM 19840, CCUG 47098, KCTC 12966, KMM 3903, CIP 108493",1,1,Maribacter sedimenticola,+,indole
5607,M-3Alg 46-1,"DSM 15366, KCTC 12969, KMM 3951, CIP 108844, KCTC 12669",1,1,Maribacter ulvicola,+,indole
166182,XSD2,"KCTC 62994, MCCC 1H00347",1,1,Maribellus luteus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
167419,Y2-1-60,"MCCC 1K04285, KCTC 72884",1,1,Maribellus sediminis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
23234,B5-6,"DSM 26893, JCM 14009, KCCM 42336, CIP 109553, CECT 7801",1,1,Palleronia pelagia,+,indole
23235,CL-SP27,"DSM 26892, JCM 13037, KCCM 42113, CIP 109545, CECT 7800",1,1,Palleronia salina,+,indole
6208,CM 11,"DSM 4734, ATCC 15268, JCM 21108, CIP 106103, IAM 14255, NBRC 102484, NCIMB 2209, VKM B-1510",1,1,Maricaulis maris,+,indole
6212,VC-5,"DSM 16079, CIP 107438, LMG 21018, VKM B-1513, KCTC 12217",1,1,Maricaulis virginensis,+,indole
6209,,"DSM 16076, CIP 107441, LMG 19865, MCS 6, KCTC 12218",1,1,Maricaulis washingtonensis,+,indole
133321,,"CAU 1311, KCTC 52189, NBRC 111988, DSM 108276",1,1,Marimonas arenosa,+,acetoin
,,,,,,,dinitrogen
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrite
160214,GH1-19,"DSM 106292, KCTC 62376",1,1,Marimonas lutisalis,+,indole
,,,,,,,maltose
140894,Z1,"ATCC BAA-2617, CICC 10859",1,1,Marinagarivorans algicola,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
133223,H2,"MCCC 1K02279, KCTC 42964",1,1,Marinibaculum pumilum,+,indole
166179,WD6-1,"KCTC 62348, MCCC 1H00282",1,1,Marinicauda salina,+,hydrogen sulfide
,,,,,,,indole
,,,,,,,O-nitrophenyl-beta-D-galactopyranosid
159701,SY-3-19,"MCCC 1K03432, KCTC 62156",1,1,Marinicaulis flavus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
132977,sw153,"DSM 25600, CGMCC 1.12181, JCM 18208",1,1,Marinicella pacifica,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
159708,F2,"KCTC 42953, MCCC 1H00149",1,1,Marinicella sediminis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
158395,KSS164-79,"DSM 104943, CCM 8749, CIP 111345, LMG 30062",1,1,Marinicrinis lubricantis,+,hydrogen sulfide
,,,,,,,indole
140620,NC2-42,"KCTC 33676, MCCC 1K01238",1,1,Marinicrinis sediminis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
133197,FB208,"KCTC 42591, MCCC 1H00113",1,1,Marinifilum albidiflavum,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
5722,SW5,"DSM 18792, CIP 109502",1,1,Mariniflexile fucanivorans,+,indole
166463,WTE16,"KCTC 62599, MCCC 1H00311",1,1,Marinilabilia rubra,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
131750,,"DSM 26891, ATCC 19041, CIP 104809, IFO (now NBRC) 15948, JCM 21150, LMG 1346, NCIMB 2216, DSM 6480, IAM 14310, NBRC 15948, IFO 15948",1,1,Marinilabilia salmonicolor,+,indole
2278,LT20,"DSM 16108, JCM 12337, CIP 108666",1,1,Marinilactibacillus piezotolerans,+,indole
2279,M13-2,"DSM 19582, IAM 14980, NBRC 100002, NCIMB 13873, JCM 21451, NRIC 0510, CIP 108048",1,1,Marinilactibacillus psychrotolerans,+,indole
132434,,"DSM 28728, JCM 30097, KCTC 29482, YIM 2617",1,1,Mariniluteicoccus endophyticus,+,hydrogen sulfide
,,,,,,,indole
456,"M18, 27.101","DSM 16975, KCTC 12357, CIP 109192",1,1,Marinimicrobium agarilyticum,+,indole
166430,SW121,"CGMCC 1.16166, KCTC 62651",1,1,Marinimicrobium alkaliphilum,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
158685,,"KCCM 43216, JCM 31588, MEBiC 09412",1,1,Marinirhabdus citrea,+,acetoin
,,,,,,,indole
,,,,,,,sulfide
132988,NH83,"DSM 101478, CGMCC 1.15462",1,1,Marinirhabdus gelatinilytica,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
17042,AT1271,"DSM 16785, JCM 12826",1,1,Marinitoga hydrogenitolerans,+,hydrogen sulfide
17043,TFS10-5,"DSM 17373, JCM 13303",1,1,Marinitoga okinawensis,+,hydrogen sulfide
493,HP15,"DSM 23420, CIP 110141, NCBI AY241552",1,1,Marinobacter adhaerens,+,indole
482,DG893,"DSM 16394, CIP 109780, NCIMB 14009",1,1,Marinobacter algicola,+,indole
140701,M6-53,"CECT 9228, LMG 30006",1,1,Marinobacter aquaticus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
141140,D15-8P,"CGMCC 1.11015, KCTC 23781",1,1,Marinobacter aromaticivorans,+,acetoin
,,,,,,,indole
159844,T17,"KCTC 52710, MCCC 1K03282",1,1,Marinobacter bohaiensis,+,hydrogen sulfide
,,,,,,,indole
480,114-50-11,"DSM 15401, KMM 3840",1,1,Marinobacter bryozoorum,+,indole
483,SW-156,"DSM 16072, JCM 12324, KCTC 12184, CIP 108614",1,1,Marinobacter daepoensis,+,indole
134494,Fg86,"CIP 107686, KMM 3809",1,1,Marinobacter excellens,+,indole
481,SW145,"DSM 16070, JCM 12323, CGMCC 1.8487, KCTC 12185, CIP 108615",1,1,Marinobacter flavimaris,+,indole
159754,NH169-3,"MCCC 1K03455, KCTC 62226",1,1,Marinobacter fuscus,+,indole
488,SLO14B-61A,"DSM 18066, CGMCC 1.6294, CIP 109534, LMG 23509",1,1,Marinobacter gudaonensis,+,indole
133354,CP12,"KACC 18381, NBRC 110910",1,1,Marinobacter halotolerans,+,indole
478,SM19,"DSM 15157, CCM 7048, CIP 107627, NCIMB 13907",1,1,Marinobacter lipolyticus,+,acetoin
,,,,,,,indole
486,CK47,"DSM 16561, JCM 12521, MTCC 6519, CGMCC 1.6490, CIP 108870, LMG 23847",1,1,Marinobacter maritimus,+,indole
134085,,"CGMCC 1.7059, JCM 15154, CN 46",1,1,Marinobacter mobilis,+,hydrogen sulfide
473,SP. 17,"DSM 8798, ATCC 49840, CIP 103578",1,1,Marinobacter nauticus,+,indole
,,,,,,,polyhydroxybutyrate
492,,"DSM 22359, CECT 7499, SET Set74, SET 74",1,1,Marinobacter oulmenensis,+,indole
134311,HS225,"CGMCC 1.6775, JCM 14804",1,1,Marinobacter pelagius,+,hydrogen sulfide
158675,,"KCTC 52545, MCCC 1H00176, HJR 7",1,1,Marinobacter salexigens,+,indole
,,,,,,,sulfide
134282,ISL-40,"KCTC 129725, CCUG 54357, KCTC 12972, CIP 109719",1,1,Marinobacter salicampi,+,indole
133343,Hb8,"KCTC 52255, JCM 31416",1,1,Marinobacter salinus,+,indole
489,SD-14B,"DSM 18347, CIP 109893, LMG 23697",1,1,Marinobacter salsuginis,+,indole
479,R 65,"DSM 15400, KMM 3657",1,1,Marinobacter sediminum,+,indole
134254,SS011B1-4T,"LMG 23928, CGMCC 1.6489",1,1,Marinobacter segnicrescens,+,hydrogen sulfide
,,,,,,,indole
487,FB1,"DSM 17747, CCUG 52119, CIP 109495",1,1,Marinobacter vinifirmus,+,indole
170942,F01,"MCCC 1H00290, KCTC 52700",1,1,Marinobacter vulgaris,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
133669,UST090418-1611,"JCM 17469, NRRL B-59512",1,1,Marinobacter xestospongiae,+,indole
140860,DB-1,"KCTC 42778, NBRC 111756",1,1,Marinobacterium aestuariivivens,+,hydrogen sulfide
164154,DMHB-2,"JCM 31902, KACC 19225",1,1,Marinobacterium boryeongense,+,indole
140895,,"KCCM 43095, JCM 30410, PAMC 27536",1,1,Marinobacterium profundum,+,hydrogen sulfide
,,,,,,,indole
140627,WM3,"CGMCC 1.15341, KCTC 42782",1,1,Marinobacterium zhoushanense,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,polyhydroxybutyrate
1370,,"DSM 16375, CIP 108945, KCTC 19045, YIM 70157, NBRC 106070",1,1,Marinococcus halotolerans,+,acetoin
,,,,,,,ammonium
,,,,,,,hydrogen sulfide
,,,,,,,melanin
1371,,"DSM 23126, KCTC 13214, YIM 91094, CCTCC AA 208014",1,1,Marinococcus luteus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,melanin
23735,SR-1,"DSM 28023, CECT 8130, LMG 26930",1,1,Marinococcus tarijensis,+,acetoin
,,,,,,,exopolysaccharide
,,,,,,,polyhydroxybutyrate
167268,QM202,"KCTC 52475, MCCC 1H00145, QM 202",1,1,Marinomonas agarivorans,+,indole
158676,Yeongu 1-4,"KEMB 9005-327, MCCC 1K00609",1,1,Marinomonas algicida,+,indole
,,,,,,,sulfide
137366,11SM4,"CIP 108405, CECT 5080, CCUG 49439",1,1,Marinomonas aquimarina,+,indole
140813,,"CECT 9050, LMG 29244, Cmf 18.22",1,1,Marinomonas atlantica,+,dinitrogen
,,,,,,,indole
133302,,"CECT 7076, LMG 29722, MED 121",1,1,Marinomonas blandensis,+,indole
166251,ANRC-JHZ47,"MCCC 1K03604, KCTC 72113",1,1,Marinomonas flavescens,+,indole
140812,,"CECT 9049, LMG 29243, Cmf 17.2",1,1,Marinomonas gallaica,+,dinitrogen
,,,,,,,indole
11270,MMB-1,"DSM 23531, ATCC 700492, CECT 4803, JCM 21426, CIP 106128, IAM 14944, NBRC 103028",1,1,Marinomonas mediterranea,+,indole
140861,SMJ19,"CECT 8886, KCTC 42958",1,1,Marinomonas spartinae,+,indole
133447,MRN461,"KCCM 42325, JCM 14064",1,1,Marinoscillum pacificum,+,indole
13679,FF3,"DSM 10251, ATCC 51440, JCM 21266, CECT 5396, CIP 104267, IAM 14591, IFO 16653, NBRC 16653",1,1,Marinovum algicola,+,indole
133387,,"KCTC 52409, MCCC 1K03210, CDA 4",1,1,Maribacter aurantiacus,+,hydrogen sulfide
167342,GS-14,"KCTC 72401, MCCC 1K03622",1,1,Marisediminitalea mangrovi,+,hydrogen sulfide
133443,B142,"CCTCC AB 208225, LMG 24627, MCCC 1A01235",1,1,Marispirillum indicum,+,indole
140775,JC444,"KCTC 15554, DSM 103365",1,1,Marispirochaeta aestuarii,+,acetate
,,,,,,,carbon dioxide
,,,,,,,dihydrogen
,,,,,,,formate
,,,,,,,indole
133451,E6,"CGMCC 1.7002, JCM 15144",1,1,Maritalea mobilis,+,hydrogen sulfide
130632,,"DSM 100037, KCCM 42376, NBRC 102057, HTCC 2654, CIP 109640",1,1,Maritimibacter alkaliphilus,+,indole
140776,ZC80,"CGMCC 1.15697, NBRC 112461",1,1,Marivibrio halodurans,+,hydrogen sulfide
,,,,,,,indole
140594,JK11,"NCIMB 1429, NBRC 15981",1,1,Marivirga harenae,+,hydrogen sulfide
,,,,,,,indole
5473,H-43,"DSM 4126, ATCC 23168, CIP 106410, IFO 15989, KCTC 2958, NBRC 15989, NCIMB 1408, VKM B-1430",1,1,Marivirga tractuosa,+,indole
24518,SMK-114,"DSM 28225, CCUG 57612, KCTC 22632",1,1,Marivita byunsanensis,+,indole
130640,DPG-138,"DSM 29432, CCUG 62112, KCTC 23882",1,1,Marivita geojedonensis,+,indole
130639,DPG-28,"DSM 29431, CCUG 60522, KCTC 23421",1,1,Marivita hallyeonensis,+,indole
158611,HSLHS2,"KCTC 52588, MCCC 1A06712",1,1,Marivivens niveibacter,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
134220,,"NRIC 0684, JCM 14121, KMM 3046, CIP 109555",1,1,Marixanthomonas ophiurae,+,indole
11086,SST-45,"DSM 21547, CIP 109645, JCM 13812, NRRL B-24464",1,1,Nocardioides aequoreus,+,hydrogen sulfide
,,,,,,,indole
11084,,"DSM 12652, JCM 10917, NBRC 105375, BC 361, CIP 106770, NCIMB 13748",1,1,Nocardioides aurantiacus,+,indole
158677,8BXZ-J1,"KCTC 39789, CGMCC 1.16067",1,1,Marmoricola endophyticus,+,indole
132514,,"DSM 22772, KACC 14267, Gsoil 097, JCM 32748",1,1,Nocardioides marmoriginsengisoli,+,indole
166481,4Q3S-7,"KCTC 39790, CGMCC 4.7424",1,1,Nocardioides mangrovicus,+,hydrogen sulfide
,,,,,,,indole
132515,,"DSM 22773, KACC 14275, Gsoil 818, JCM 32749",1,1,Nocardioides pocheonensis,+,indole
158712,S20-100,"LMG 30008, DSM 104694",1,1,Marmoricola silvestris,+,indole
166469,ZX-21,"MCCC 1K03431, KCTC 62160",1,1,Zhongshania marina,+,indole
531,MACL11,"DSM 17316, CECT 5861, LMG 22193, CIP 108716",1,1,Martelella mediterranea,+,acetoin
,,,,,,,indole
11331,5516S-11,"DSM 19289, KACC 12505",1,1,Massilia aerilata,+,indole
140977,J9,"KEMB 9005-359, JCM 31605",1,1,Massilia agilis,+,hydrogen sulfide
,,,,,,,indole
140986,K-3-1,"KEMB 9005-446, KACC 19000, JCM 31661",1,1,Massilia agri,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
11325,45,"CCUG 52214, DSM 17472, CCTCC AB 204071, KCTC 12343, CIP 109189",1,1,Massilia albidiflava,+,indole
11324,,"DSM 17462, CCTCC AA 204003, KCTC 12194, YIM 31775, CCUG 50882, CIP 108793",1,1,Massilia alkalitolerans,+,hydrogen sulfide
,,,,,,,indole
159643,ZMN-3,"DSM 104676, CGMCC 1.16209",1,1,Massilia armeniaca,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
175045,ML15P13,"DSM 111267, KACC 21773, JCM 34089",1,1,Telluria aromaticivorans,+,indole
166521,SOD,"KCTC 62720, LMG 30840",1,1,Massilia atriviolacea,+,hydrogen sulfide
,,,,,,,indole
11329,AP13,"CCUG 54941, DSM 18055, CCM 7363, CECT 7142, JCM 13879, CGMCC 1.10742, CIP 109392",1,1,Massilia aurea,+,indole
11330,byr23-80,"DSM 18925, ATCC BAA-1465, CCM 8559",1,1,Massilia brevitalea,+,indole
158678,A9,"DSM 103547, CGMCC 1.15931, KCTC 52429",1,1,Massilia buxea,+,indole
,,,,,,,sulfide
11338,,"DSM 26320, CCM 7792, CCUG 58010",1,1,Massilia consociata,+,indole
11328,16,"DSM 17513, CCTCC AB 204070, KCTC 12342, CCUG 52213, CIP 109188",1,1,Massilia dura,+,indole
132947,B528-3,"DSM 104958, CGMCC 1.12828, JCM 30074, CCM 8735",1,1,Massilia eurypsychrophila,+,indole
140777,B448-2,"JCM 30271, CGMCC 1.12920, CCM 8861",1,1,Massilia glaciei,+,acetoin
,,,,,,,indole
166330,DS3,"GDMCC 1.1636, KACC 21312",1,1,Massilia guangdongensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
11332,,"DSM 21946, CCUG 38318, CCM 7480",1,1,Massilia haematophila,+,indole
11336,"5317-J, 5317J-18","DSM 21309, KACC 12634",1,1,Massilia jejuensis,+,indole
131294,,"DSM 101532, JCM 19189, KACC 17471, KEMB 9005-031, TSA 1",1,1,Massilia kyonggiensis,+,indole
11326,101,"DSM 17473, CCTCC AB 204073, KCTC 12345, CCUG 52216, CIP 109190",1,1,Massilia lutea,+,indole
11342,333-1-0411,"DSM 25159, CGMCC 1.11014",1,1,Massilia namucuonensis,+,indole
11334,5420S-26,"DSM 21312, CIP 110037, KACC 12632",1,1,Massilia niabensis,+,indole
11335,5516S-1,"DSM 21313, CIP 110038, KACC 12599",1,1,Massilia niastensis,+,indole
11339,,"DSM 26321, CCM 7900, CCUG 43427 A, CCUG 43427A",1,1,Massilia oculi,+,indole
140695,12-OD1,"CCTCC AB 2016251, LMG 29956, KCTC 52513",1,1,Massilia phosphatilytica,+,indole
11327,76,"DSM 17505, CCTCC AB 204072, KCTC 12344, CIP 109191",1,1,Massilia plicata,+,indole
133173,B1555-1,"CGMCC 1.15196, JCM 30813",1,1,Massilia psychrophila,+,hydrogen sulfide
,,,,,,,indole
141141,6NM-7,"DSM 27523, KCTC 42761",1,1,Massilia putida,+,dimethyl disulfide
,,,,,,,indole
140975,J18,"KEMB 9005-366, JCM 31607",1,1,Massilia solisilvae,+,hydrogen sulfide
,,,,,,,indole
11337,5414S-25,"DSM 21311, KACC 12635",1,1,Massilia suwonensis,+,indole
140976,J11,"KEMB 9005-360, JCM 31606",1,1,Massilia terrae,+,hydrogen sulfide
,,,,,,,indole
11341,TS3,"DSM 25654, CCTCC AB 2010202, KACC 14940",1,1,Massilia tieshanensis,+,indole
11323,UR/MT95,"DSM 16850, CCUG 45783, CIP 105350",1,1,Massilia timonae,+,indole
24262,LP01,"DSM 26121, CECT 7753",1,1,Massilia umbonata,+,indole
11333,"R-3575, RSTN 96/5182","DSM 21873, CCM 7478, CCUG 35299",1,1,Massilia varians,+,indole
132911,Y1243-1,"DSM 105394, CGMCC 1.12041, KACC 16569, JCM 18139",1,1,Massilia yuzhufengensis,+,indole
17126,YITM815,"DSM 19343, JCM 14723",1,1,Megamonas funiformis,+,indole
17125,,"DSM 1672, ATCC 25560, DSM 20631, NCTC 10570, CCUG 5856, VPI 2366, EBF 61/42",1,1,Megamonas hypermegale,+,indole
17127,FM1025,"DSM 19944, CIP 109788",1,1,Megamonas rupellensis,+,indole
17130,LC1,"DSM 20460, ATCC 25940, NCIB 8927, CCUG 64197, JCM 1772, CCUG 6199, CECT 390, CGMCC 1.2720, KCTC 5187, NCFB 2263, NCIMB 8927, VTT E-84221, CIP 106852, AIP 10100",1,1,Megasphaera elsdenii,+,indole
140555,MH,"KCCM 43214, JCM 31403, KFCC 11466P",1,1,Megasphaera hexanoica,+,acetoin
,,,,,,,carbon dioxide
,,,,,,,dihydrogen
,,,,,,,hydrogen sulfide
132967,NP3,"DSM 26228, CSUR P245",1,1,Megasphaera massiliensis,+,indole
17133,,"DSM 17226, CCUG 45952, CIP 107280, AIP 412.00",1,1,Megasphaera micronuciformis,+,indole
17131,,"DSM 16981, VTT E-032341",1,1,Megasphaera paucivorans,+,hydrogen sulfide
,,,,,,,indole
158428,AJH120,"DSM 106750, CCUG 71842",1,1,Megasphaera stantonii,+,acetic acid
,,,,,,,formate
,,,,,,,phenylacetate
17132,,"DSM 17042, VTT E-97791",1,1,Megasphaera sueciensis,+,indole
24801,P3M-2,"DSM 23840, JCM 17771, VKM B-2668",1,1,Melioribacter roseus,+,acetate
,,,,,,,carbon dioxide
,,,,,,,dihydrogen
,,,,,,,DL-lactate
130322,,"DSM 29964, ATCC 35311, LMG 20360, NCDO 2443, CIP 104052, LMG 19520",1,1,Melissococcus plutonius,+,indole
140896,CZ-AZ5,"CGMCC 1.13179, JCM 18886",1,1,Membranihabitans marinus,+,hydrogen sulfide
,,,,,,,indole
140531,,"KCTC 15482, JCM 30748, BR 31",1,1,Merdimonas faecis,+,acetate
,,,,,,,hydrogen sulfide
,,,,,,,indole
170581,A25201,"DSM 112696, ATCC TSD-273",1,1,Mergibacter septicus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
166428,TG-679,"KCTC 62454, MCCC 1K03496",1,1,Meridianimarinicoccus roseus,+,acetoin
,,,,,,,Bacteriochlorophyll alpha
,,,,,,,hydrogen sulfide
,,,,,,,indole
1268,CV53,"DSM 19613, CIP 108889, LMG 23174, UCCCB11",1,1,Mesobacillus foraminis,+,indole
1250,YKJ-10,"DSM 18226, CIP 107104, JCM 10885, KCCM 41040, BCRC 20126, CCM 7133, CGMCC 1.3651, KCTC 3839",1,1,Mesobacillus jeotgali,+,indole
22925,B48,"DSM 25386, CECT 8001, IBRC-M 10115",1,1,Mesobacillus persicus,+,hydrogen sulfide
1255,SF-1,"DSM 18680, JCM 14380, FERM P-15431",1,1,Mesobacillus selenatarsenatis,+,hydrogen sulfide
140266,JJ-247,"DSM 103964, CCM 8726, LMG 29876",1,1,Mesobacillus zeae,+,hydrogen sulfide
,,,,,,,indole
130521,HIM938/5,"DSM 28403, CCUG 28030, CCUG 36448, HIM 938/5, Kunstyr 246/85, MCCM 466, HIM 933/7",1,1,Mesocricetibacter intestinalis,+,indole
5616,M-2Alg 33-2,"DSM 15361, CCUG 47092, KCTC 12089, KMM 3909, CIP 108200",1,1,Mesonia algae,+,acetoin
