ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Enzyme activity,Enzyme
,,,,,,+,trypsin
,,,,,,+,valine arylamidase
7763,EL-30T,"CCUG 47141, JCM 11953, DSM 12544, CIP 107030, IFAM EL-30",1,1,Nesterenkonia lacusekhoensis,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
7766,,"DSM 15666, CCTCC AA 203010, CIP 108679, KCTC 19013, YIM 70081, JCM 13019, CIP 107970, JCM 19019",1,1,Nesterenkonia lutea,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
164194,M8,"JCM 32100, CGMCC 1.16706, MCC 3367",1,1,Nesterenkonia natronophila,+,catalase
,,,,,,+,leucine arylamidase
140783,BV-35,"NCAIM B 02606, DSM 29786",1,1,Nesterenkonia pannonica,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
7767,,"DSM 15664, CCTCC AA 203007, CIP 108680, KCTC 19011, YIM 70009, JCM 13020",1,1,Nesterenkonia sandarakina,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,trypsin
,,,,,,+,valine arylamidase
7773,Sua-BAC020,"DSM 22748, JCM 19557, NCCB 100309",1,1,Nesterenkonia suensis,+,catalase
7765,,"DSM 15475, CCTCC AA 001025, YIM 70097, JCM 13021, KCTC 19016",1,1,Nesterenkonia xinjiangensis,+,gelatinase
,,,,,,+,urease
17659,Soe1,DSM 11499,1,1,Nevskia ramosa,+,beta-glucosidase
,,,,,,+,cytochrome oxidase
17661,GR15-1,"DSM 19509, KACC 11703",1,1,Nevskia soli,+,catalase
,,,,,,+,cytochrome oxidase
17662,KIS13-15,"DSM 25747, JCM 15425, KACC 12736",1,1,Nevskia terrae,+,acid phosphatase
,,,,,,+,catalase
140513,RP-2,"JCM 30952, KACC 18623",1,1,Niabella aquatica,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase
17758,R2A15-11,"DSM 17617, CIP 109580, KACC 11698",1,1,Niabella aurantiaca,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
24735,"E90, E96","CCUG 62505, DSM 25811, CCM 8410, LMG 26954, CIP 110418",1,1,Niabella drilacis,+,cytochrome oxidase
133448,GR10-1,"KACC 13021, JCM 15444, NBRC 106414",1,1,Niabella ginsengisoli,+,catalase
133388,THG-DN5.5,"KACC 18857, CCTCC AB 2016086",1,1,Niabella hibiscisoli,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
24734,"E96, E90","DSM 25812, CCM 8411, LMG 26956, CCUG 62507, CIP 110416",1,1,Niabella hirudinis,+,cytochrome oxidase
140823,R384,"KEMB 9005-329, KACC 18454, JCM 31011",1,1,Niabella pedocola,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
17759,JS13-8,"DSM 19437, KACC 12604",1,1,Niabella soli,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
133520,,"LMG 24661, HAMBI 3031, CCBAU 05354",1,1,Niabella yanshanensis,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,urease
642,"Ford 26, 26, 726","DSM 11, ATCC 4513, CCM 2048, JCM 2504, LMG 13261, NCIB 9374, NCTC 2610, CCUG 7416, ATCC 9140, ATCC 24, BCRC 10605, CECT 10, CIP 52.75, HAMBI 1911, IAM 12462, IAM 14175, IFO 13626, KCTC 3347, LMG 6926, NBRC 13626, NCCB 75011, NCFB 1775, NCIMB 9374, NRRL B-378, NRRL B-380, VKM B-1242, VTT E-95570, NCDO 1775, NRRL NRS726",1,1,Niallia circulans,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
1209,Fo-92,"DSM 15077, ATCC BAA-519, CIP 108262",1,1,Niallia nealsonii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,DNase
,,,,,,+,esterase (C 4)
132616,1DS3-10,"DSM 29761, ACCC 19781",1,1,Niallia oryzisoli,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,chymotrypsin
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,urease
164454,M5HDSG1-1,"JCM 33117, CGMCC 1.13668",1,1,Niallia taxi,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
133253,THG-YS3.2.1,"KCTC 52084, CCTCC AB 2015356",1,1,Niastella hibisci,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
17756,GR20-10,"DSM 17620, KACC 11465",1,1,Niastella koreensis,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
133537,THYL-44,"CCTCC AB 208238, KCTC 22560",1,1,Niastella populi,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,gelatinase
140864,DJ57,"KCTC 42474, CCTCC AB 2015052",1,1,Niastella vici,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
17757,GR20-13,"DSM 17621, KACC 11466",1,1,Niastella yeongjuensis,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,cytochrome oxidase
134053,GCR0103,"KACC 16453, JCM 17927",1,1,Nibrella saemangeumensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
134054,GYR3121,"KACC 16447, JCM 17925",1,1,Nibrella viscosa,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
134066,GSR3061,"KACC 16450, JCM 17917",1,1,Nibribacter koreensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
166361,BT10,"KCTC 62607, NBRC 114383",1,1,Nibribacter ruber,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-mannosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,catalase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,protease
,,,,,,+,trypsin
11728,"D1522_98, JF2139, D1522","DSM 16380, CCUG 43639, CIP 108715",1,1,Nicoletella semolina,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,oxidase
,,,,,,+,urease
141099,MME-018,"KCCM 43135, JCM 30752",1,1,Nioella aestuarii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
168513,Z7-4,"CCTCC AB 2017231, KCTC 62459",1,1,Nioella ostreopsis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
140471,JS7-11,"MCCC 1A00710, KCTC 42144",1,1,Nioella sediminis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
13946,DR41_21,"DSM 18348, CIP 109265, OOB 129",1,1,Nisaea denitrificans,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,oxidase
,,,,,,+,urease
,,,,,,+,valine arylamidase
13947,DR41_18,"DSM 19540, CIP 109601, OOB 128",1,1,Nisaea nitritireducens,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,oxidase
,,,,,,+,urease
,,,,,,+,valine arylamidase
140601,2-2-12-1,"CGMCC 1.15320, LMG 29090",1,1,Nitratireductor aestuarii,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase
,,,,,,+,leucine aminopeptidase
,,,,,,+,trypsin
,,,,,,+,urease
,,,,,,+,valine aminopeptidase
11871,NL21,"DSM 15645, ATCC BAA-762, JCM 21793, CGMCC 1.8928, IAM 15348",1,1,Nitratireductor aquibiodomus,+,catalase
,,,,,,+,cytochrome oxidase
170935,,"KCTC 62997, NBRC 113694, CAU 1489",1,1,Nitratireductor arenosus,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
134362,J3,"KCTC 22119, JCM 14935",1,1,Nitratireductor basaltis,+,alpha-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
133633,"RC92-7, C115","CCTCC AB 209298, LMG 25540, MCCC 1A01260",1,1,Nitratireductor indicus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,urease
11872,,"DSM 19185, JCM 14851, KACC 11904, Ky 101, NBRC 106418",1,1,Nitratireductor kimnyeongensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
133275,GSS14,"KCTC 52186, MCCC 1K02481",1,1,Nitratireductor lacus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
166310,SY7,"KCTC 72110, MCCC 1K03723",1,1,Nitratireductor mangrovi,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,trypsin
17693,ANL-iso2,"DSM 45188, NBRC 105792, NCCB 100119, UNIQEM U239",1,1,Nitriliruptor alkaliphilus,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,leucine arylamidase
141100,ZV-19,"DSM 29817, NCAIM B.02612, NCAIM B 02612",1,1,Nitrincola alkalilacustris,+,acid phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,valine arylamidase
140898,MEB087,"KCTC 42948, JCM 19317",1,1,Nitrincola alkalisediminis,+,catalase
,,,,,,+,cytochrome oxidase
11284,4CA,"DSM 16316, ATCC BAA-920",1,1,Nitrincola lacisaponensis,+,catalase
,,,,,,+,cytochrome oxidase
141101,R4-8,"DSM 100788, NCAIM B.02626",1,1,Nitrincola schmidtii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,phosphatase
164093,MEB193,"JCM 31570, MCC 2863, KCTC 52390",1,1,Nitrincola tapanii,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
24722,LW7,"DSM 46695, CCUG 57665, JCM 15946, NCCB 100279",1,1,Nitritalea halalkaliphila,+,catalase
,,,,,,+,cytochrome oxidase
158487,D3C,"DSM 106147, JCM 32271, NCIMB 15115",1,1,Nitrosopumilus piranensis,+,urease
140139,,"DSM 106739, JCM 18716, KACC 17062, MIC 2059",1,1,Niveibacterium umoris,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
13995,"KBC 1, KBC1","DSM 11586, ATCC 51182, CIP 103311, CCUG 30621, LMG 10653, BCRC 15764",1,1,Niveispirillum irakense,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cytochrome oxidase
158605,41640,"CGMCC 1.12980, LMG 28363",1,1,Niveispirillum lacus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
133119,4-Jun,"KACC 18808, JCM 31525",1,1,Niveitalea solisilvae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
10731,VA-12,"DSM 44432, ATCC 23824, ATCC BAA-279, IMMIB D-1599, IMMIB N-63, JCM 10984, NBRC 100374, CCUG 45938, CIP 106822, IMMIB D-1592, CGMCC 4.1723, IFM 10029",1,1,Nocardia abscessus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,pyrazinamidase
10818,GW4-1778,"DSM 45049, CCUG 53410, CIP 109315, JCM 14671, IFM 10820, NBRC 108247",1,1,Nocardia acidivorans,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
10753,SD769,"CCUG 46122, DSM 44491, ATCC BAA-280, CIP 109047, NBRC 100379, NCTC 13181, JCM 11438",1,1,Nocardia africana,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,pyrrolidonyl arylamidase
,,,,,,+,trypsin
,,,,,,+,valine arylamidase
10627,,"DSM 44684, CCTCC AA 001030, CIP 108434, YIM 30243, JCM 13373, IFM 10588, NBRC 108234",1,1,Nocardia alba,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
10813,,"DSM 44997, CIP 109606, OFN S17, JCM 14670, IFM 10819, NBRC 108246",1,1,Nocardia altamirensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
10816,TT 00-78,"DSM 45066, KCTC 19208, NBRC 102102, JCM 14877, IFM 10867",1,1,Nocardia amamiensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,trypsin
10715,W9988,"DSM 45539, CCUG 59655",1,1,Nocardia amikacinitolerans,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,urease
10798,,"DSM 44821, IFM 0323, JCM 12396, NBRC 100462, CIP 108869",1,1,Nocardia anaemiae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,leucine arylamidase
,,,,,,+,trypsin
,,,,,,+,urease
10789,,"DSM 44805, CIP 109046, IFM 0372, JCM 12352, NBRC 100429",1,1,Nocardia aobensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,trypsin
10786,,"DSM 44729, IFM 0575, JCM 12118, NBRC 100135, CIP 108631",1,1,Nocardia araoensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lysine decarboxylase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,oxidase
10829,,"DSM 45379, CCTCC AA 209038, YIM 65623",1,1,Nocardia artemisiae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,pyrazinamidase
,,,,,,+,urease
10779,,"DSM 44731, CIP 108682, IFM 10035, JCM 12120, NBRC 100137",1,1,Nocardia arthritidis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
10775,,"DSM 44668, JCM 11892, NBRC 100129, CCUG 48826, IFM 0245, CIP 108374",1,1,Nocardia asiatica,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
10640,"727, GA 875, M 170-6, M170-6","DSM 43757, ATCC 19247, CCM 2754, DSM 43373, IMET 7547, JCM 3384, NCTC 11293, CCUG 10073, PSA 165, CECT 3051, CGMCC 4.1165, CIP 104503, HUT 6572, IFM 0319, IFO 15531, KCTC 9956, MTCC 274, NBRC 15531, NCAIM B.01954, NCIMB 12082, NRRL B-3828, PCM 2254",1,1,Nocardia asteroides,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
10768,"02, O2 (AS 4.1521)","CCUG 46096, DSM 44636, AS 4.1521, CIP 107257, IFO 16342, JCM 10666, NBRC 16342, CGMCC 4.1521, IFM 10174, KCTC 19931, NCIMB 13870",1,1,Nocardia beijingensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,oxidase
,,,,,,+,urease
10822,N444,"DSM 45135, ATCC 700035, JCM 16005",1,1,Nocardia blacklockiae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
160092,NEAU-351,"DSM 110681, CCTCC AA 2019090",1,1,Nocardia bovistercoris,+,acid phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,urease
10650,"381, 631, GA 876, 0236, 845, Jr 381, 337","DSM 43758, ATCC 19296, CBS 330.54, IFO 14402, IMRU 845, JCM 3374, NBRC 14402, NCTC 11294, CCT 3439, CCUG 10074, CCUG 10098, CECT 3052, CIP 104502, IFM 0236, IMSNU 21222, IMSNU 21223, NCIMB 12083, VKM Ac-863",1,1,Nocardia brasiliensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
10654,0029,"DSM 43024, ATCC 15333, IFO 12119, IMRU 1086, KCC A-0029, NBRC 12119, RIA 709, CCUG 46115, JCM 3029, BCRC 13389, CGMCC 4.1163, CIP 104508, IFM 0283, IMET 9542, IMSNU 20103, IMSNU 21207, KCCM 12521, KCTC 9370, NRRL B-2896, VKM Ac-936, IMRU 1086W",1,1,Nocardia brevicatena,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,urease
10788,F829,"DSM 44831, AS 4.1728, IFM 10344, JCM 11508, BCRC 16365, CGMCC 4.1728, CIP 108001, NBRC 108228, CIP 108101",1,1,Nocardia caishijiensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,lysine decarboxylase
,,,,,,+,urease
10825,,"DSM 45353, ACM 5287, JCM 18298, CAP 290",1,1,Nocardia callitridis,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,leucine arylamidase
132481,1H-HV4,"DSM 100526, CGMCC 4.7278",1,1,Nocardia camponoti,+,urease
10655,30,"CCUG 48177, CIP 104509, IFO 14403, JCM 3375, NRRL B-1336, DSM 43397, ATCC 6847, IMRU 3419, NCTC 3527, DSM 43580, JCM 30727, BCRC 13693, CCM 2756, CGMCC 4.1167, CGMCC 4.1733, IFM 0237, IMET 7504, IMSNU 21185, KCTC 9957, NBRC 14403, VKM Ac-814",1,1,Nocardia carnea,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
10762,"N1301, Y9","DSM 44546, CIP 108826, CCT 5601, JCM 12209, BCRC 16366, IFM 10366, NBRC 101014",1,1,Nocardia cerradoensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
10799,,"DSM 44804, CIP 108975, IFM 0354, JCM 12351, NBRC 100430, CCUG 52242",1,1,Nocardia concava,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
