"name","eq","way","ec","ko","rn","symbol","map","md"
"galactokinase [EC:2.7.1.6]","ATP + alpha-D-Galactose <=> ADP + alpha-D-Galactose 1-phosphate","Bidirectional","2.7.1.6","K00849","R01092","galK","map00052","M00554, M00632"
"galactonate dehydratase [EC:4.2.1.6]","D-Galactonate <=> 2-Dehydro-3-deoxy-D-galactonate + H2O","Bidirectional","4.2.1.6, 4.2.1.140","K01684","R03033","dgoD","map00052","M00552"
"galactosamine PTS system EIIB component [EC:2.7.1.-]","D-Galactosamine + Protein N(pi)-phospho-L-histidine <=> D-Galactosamine 6-phosphate + Protein histidine","Bidirectional",NA,"K10984","R08367","agaB","map00052",NA
"galactosamine PTS system EIIC component","D-Galactosamine + Protein N(pi)-phospho-L-histidine <=> D-Galactosamine 6-phosphate + Protein histidine","Bidirectional",NA,"K10985","R08367","agaC","map00052",NA
"galactosamine PTS system EIID component","D-Galactosamine + Protein N(pi)-phospho-L-histidine <=> D-Galactosamine 6-phosphate + Protein histidine","Bidirectional",NA,"K10986","R08367","agaD","map00052",NA
"galactose PTS system EIIA component [EC:2.7.1.204]","Protein N(pi)-phospho-L-histidine + D-Galactose <=> Protein histidine + D-Galactose 6-phosphate","Bidirectional","2.7.1.204","K20112","R11171","gatA","NA",NA
"galactose PTS system EIIB component [EC:2.7.1.204]","Protein N(pi)-phospho-L-histidine + D-Galactose <=> Protein histidine + D-Galactose 6-phosphate","Bidirectional","2.7.1.204","K20113","R11171","gatB","NA",NA
"galactose PTS system EIIC component","Protein N(pi)-phospho-L-histidine + D-Galactose <=> Protein histidine + D-Galactose 6-phosphate","Bidirectional","2.7.1.204","K20114","R11171","gatC","NA",NA
"galactose dehydrogenase [EC:1.1.1.48 1.1.1.120]","D-Galactose + NAD+ <=> D-Galactono-1,4-lactone + NADH + H+","Bidirectional","1.1.1.48","K22215","R01094","galD","map00052",NA
"galactose dehydrogenase [EC:1.1.1.48 1.1.1.120]","D-Galactose + NADP+ <=> D-Galactono-1,4-lactone + NADPH + H+","Bidirectional","1.1.1.48, 1.1.1.120","K22215","R01097","galD","map00052",NA
"galactose oxidase [EC:1.1.3.9]","D-Galactose + Oxygen + H2O <=> D-Galactonate + Hydrogen peroxide","Bidirectional","1.1.3.9","K04618","R01098","GAOA","map00052",NA
"galactose-6-phosphate isomerase [EC:5.3.1.26]","D-Galactose 6-phosphate <=> D-Tagatose 6-phosphate","Bidirectional","5.3.1.26","K01819","R03240","E5.3.1.26","map00052",NA
"galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]","Digalacturonate + H2O <=> 2 D-Galacturonate","Bidirectional","3.2.1.67","K01213","R07413","E3.2.1.67","map00040","M00081"
"galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]","Digalacturonate + H2O <=> 2 D-Galacturonate","Bidirectional","3.2.1.67","K22933","R07413","lplD","map00040",NA
"galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]","Pectate + H2O <=> D-Galacturonate + Pectate","Bidirectional","3.2.1.15, 3.2.1.67","K01213","R01982","E3.2.1.67","map00040","M00081"
"gamma-F420-2:alpha-L-glutamate ligase [EC:6.3.2.32]","ATP + Coenzyme F420 + L-Glutamate <=> ADP + Coenzyme F420-3 + Orthophosphate","Bidirectional","6.3.2.32","K14940","R09401","cofF","map00680",NA
"glucan 1,3-beta-glucosidase [EC:3.2.1.58]","1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan","Bidirectional","3.2.1.39, 3.2.1.58","K01210","R00308","E3.2.1.58","map00500",NA
"glucan 1,4-alpha-glucosidase [EC:3.2.1.3]","Dextrin + H2O <=> D-Glucose + Dextrin","Bidirectional","3.2.1.3, 3.2.1.10","K21574","R01791","susB","map00500",NA
"glucan 1,4-alpha-glucosidase [EC:3.2.1.3]","Starch + H2O <=> D-Glucose + Starch","Bidirectional","3.2.1.3","K21574","R01790","susB","map00500",NA
"glucan endo-1,3-beta-D-glucosidase [EC:3.2.1.39]","1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan","Bidirectional","3.2.1.39, 3.2.1.58","K01199","R00308","EGLC","map00500",NA
"glucan endo-1,3-beta-glucosidase 1/2/3 [EC:3.2.1.39]","1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan","Bidirectional","3.2.1.39, 3.2.1.58","K19891","R00308","GN1_2_3","map00500",NA
"glucan endo-1,3-beta-glucosidase 4 [EC:3.2.1.39]","1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan","Bidirectional","3.2.1.39, 3.2.1.58","K19892","R00308","GN4","map00500",NA
"glucan endo-1,3-beta-glucosidase 5/6 [EC:3.2.1.39]","1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan","Bidirectional","3.2.1.39, 3.2.1.58","K19893","R00308","GN5_6","map00500",NA
"glucarate dehydratase [EC:4.2.1.40]","D-Glucarate <=> 2-Dehydro-3-deoxy-D-glucarate + H2O","Bidirectional","4.2.1.40","K01706","R08056","gudD","map00053",NA
"glucarate dehydratase [EC:4.2.1.40]","D-Glucarate <=> 5-Dehydro-4-deoxy-D-glucarate + H2O","Bidirectional","4.2.1.40","K01706","R02752","gudD","map00053",NA
"glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]","Protein N(pi)-phospho-L-histidine + D-Sorbitol <=> Protein histidine + Sorbitol 6-phosphate","Bidirectional","2.7.1.198","K02781","R05820","srlB","map00051",NA
"glucitol/sorbitol PTS system EIIB component [EC:2.7.1.198]","Protein N(pi)-phospho-L-histidine + D-Sorbitol <=> Protein histidine + Sorbitol 6-phosphate","Bidirectional","2.7.1.198","K02782","R05820","srlE","map00051",NA
"glucitol/sorbitol PTS system EIIC component","Protein N(pi)-phospho-L-histidine + D-Sorbitol <=> Protein histidine + Sorbitol 6-phosphate","Bidirectional","2.7.1.198","K02783","R05820","srlA","map00051",NA
"glucoamylase [EC:3.2.1.3]","Dextrin + H2O <=> D-Glucose + Dextrin","Bidirectional","3.2.1.3, 3.2.1.10","K01178","R01791","SGA1","map00500",NA
"glucoamylase [EC:3.2.1.3]","Starch + H2O <=> D-Glucose + Starch","Bidirectional","3.2.1.3","K01178","R01790","SGA1","map00500",NA
"glucokinase [EC:2.7.1.2]","ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate","Bidirectional","2.7.1.1, 2.7.1.2","K00845","R00299","glk","map00500",NA
"glucokinase [EC:2.7.1.2]","ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate","Bidirectional","2.7.1.1, 2.7.1.2","K12407","R00299","GCK","map00500",NA
"glucokinase [EC:2.7.1.2]","ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate","Bidirectional","2.7.1.1, 2.7.1.2","K25026","R00299","glk","map00500",NA
"glucokinase [EC:2.7.1.2]","ATP + alpha-D-Glucose <=> ADP + alpha-D-Glucose 6-phosphate","Bidirectional","2.7.1.1, 2.7.1.2","K00845","R01786","glk","map00010, map00052",NA
"glucokinase [EC:2.7.1.2]","ATP + alpha-D-Glucose <=> ADP + alpha-D-Glucose 6-phosphate","Bidirectional","2.7.1.1, 2.7.1.2","K12407","R01786","GCK","map00010, map00052",NA
"glucokinase [EC:2.7.1.2]","ATP + alpha-D-Glucose <=> ADP + alpha-D-Glucose 6-phosphate","Bidirectional","2.7.1.1, 2.7.1.2","K25026","R01786","glk","map00010, map00052",NA
"glucokinase [EC:2.7.1.2]","ATP + beta-D-Glucose <=> ADP + beta-D-Glucose 6-phosphate","Bidirectional","2.7.1.1, 2.7.1.2","K00845","R01600","glk","map00010","M00001"
"glucokinase [EC:2.7.1.2]","ATP + beta-D-Glucose <=> ADP + beta-D-Glucose 6-phosphate","Bidirectional","2.7.1.1, 2.7.1.2","K12407","R01600","GCK","map00010","M00001"
"glucokinase [EC:2.7.1.2]","ATP + beta-D-Glucose <=> ADP + beta-D-Glucose 6-phosphate","Bidirectional","2.7.1.1, 2.7.1.2","K25026","R01600","glk","map00010","M00001"
"gluconate 2-dehydrogenase alpha chain [EC:1.1.99.3]","D-Gluconic acid + FAD <=> 2-Keto-D-gluconic acid + FADH2","Bidirectional","1.1.99.3","K06151","R01741","E1.1.99.3A","map00030",NA
"gluconate 2-dehydrogenase gamma chain [EC:1.1.99.3]","D-Gluconic acid + FAD <=> 2-Keto-D-gluconic acid + FADH2","Bidirectional","1.1.99.3","K06152","R01741","E1.1.99.3G","map00030",NA
"gluconate/galactonate dehydratase [EC:4.2.1.140]","D-Galactonate <=> 2-Dehydro-3-deoxy-D-galactonate + H2O","Bidirectional","4.2.1.6, 4.2.1.140","K05308","R03033","gnaD","map00052","M00309, M00633"
"gluconate/galactonate dehydratase [EC:4.2.1.140]","D-Gluconic acid <=> 2-Dehydro-3-deoxy-D-gluconate + H2O","Bidirectional","4.2.1.39, 4.2.1.140","K05308","R01538","gnaD","map00030","M00308, M00309, M00633"
"gluconokinase [EC:2.7.1.12]","ATP + D-Gluconic acid <=> ADP + 6-Phospho-D-gluconate","Bidirectional","2.7.1.12","K00851","R01737","idnK","map00030",NA
"gluconokinase [EC:2.7.1.12]","ATP + D-Gluconic acid <=> ADP + 6-Phospho-D-gluconate","Bidirectional","2.7.1.12","K25031","R01737","gntK","map00030",NA
"gluconolactonase [EC:3.1.1.17]","D-Glucono-1,5-lactone + H2O <=> D-Gluconic acid","Bidirectional","3.1.1.17","K01053","R01519","gnl","map00030",NA
"gluconolactonase [EC:3.1.1.17]","L-Gulono-1,4-lactone + H2O <=> L-Gulonate","Bidirectional","3.1.1.17, 3.1.1.25","K01053","R02933","gnl","map00053","M00129"
"glucosaminate ammonia-lyase [EC:4.3.1.9]","2-Amino-2-deoxy-D-gluconate <=> 2-Dehydro-3-deoxy-D-gluconate + Ammonia","Bidirectional","4.3.1.9","K22345","R01544","E4.3.1.9","map00030",NA
"glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]","D-Glucose + Quinone <=> D-Glucono-1,5-lactone + Hydroquinone","Bidirectional","1.1.5.9","K00115","R00305","GLD","map00030",NA
"glucose 1-dehydrogenase [EC:1.1.1.47]","beta-D-Glucose + NAD+ <=> D-Glucono-1,5-lactone + NADH + H+","Bidirectional","1.1.1.47","K00034","R01520","gdh","map00030",NA
"glucose 1-dehydrogenase [EC:1.1.1.47]","beta-D-Glucose + NADP+ <=> D-Glucono-1,5-lactone + NADPH + H+","Bidirectional","1.1.1.47","K00034","R01521","gdh","map00030",NA
"glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]","Protein N(pi)-phospho-L-histidine + D-Glucose <=> Protein histidine + alpha-D-Glucose 6-phosphate","Bidirectional","2.7.1.199","K20118","R02738","ptsG","map00010",NA
"glucose dehydrogenase [EC:1.1.5.9]","D-Glucose + Quinone <=> D-Glucono-1,5-lactone + Hydroquinone","Bidirectional","1.1.5.9","K19813","R00305","gdh","map00030",NA
"glucose-1,6-bisphosphate synthase [EC:2.7.1.106]","3-Phospho-D-glyceroyl phosphate + D-Glucose 1-phosphate <=> 3-Phospho-D-glycerate + alpha-D-Glucose 1,6-bisphosphate","Bidirectional","2.7.1.106","K11809","R01660","PGM2L1","map00500",NA
"glucose-1-phosphatase [EC:3.1.3.10]","D-Glucose 1-phosphate + H2O <=> alpha-D-Glucose + Orthophosphate","Bidirectional","3.1.3.10","K01085","R00947","agp","map00010",NA
"glucose-1-phosphatase [EC:3.1.3.10]","D-Glucose 1-phosphate + H2O <=> alpha-D-Glucose + Orthophosphate","Bidirectional","3.1.3.10","K20866","R00947","yihX","map00010",NA
"glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]","ATP + D-Glucose 1-phosphate <=> Diphosphate + ADP-glucose","Bidirectional","2.7.7.27","K00975","R00948","glgC","map00500","M00565, M00854"
"glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]","CTP + D-Glucose 1-phosphate <=> Diphosphate + CDP-glucose","Bidirectional","2.7.7.33","K00978","R00956","rfbF","map00500",NA
"glucose-6-phosphatase [EC:3.1.3.9]","D-Glucose 6-phosphate + H2O <=> D-Glucose + Orthophosphate","Bidirectional","3.1.3.9, 3.1.3.58","K01084","R00303","G6PC","map00500",NA
"glucose-6-phosphatase [EC:3.1.3.9]","alpha-D-Glucose 6-phosphate + H2O <=> alpha-D-Glucose + Orthophosphate","Bidirectional","3.1.3.9","K01084","R01788","G6PC","map00010, map00052",NA
"glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+","Bidirectional","1.1.1.49, 1.1.1.363","K00036","R00835","G6PD","NA",NA
"glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","beta-D-Glucose 6-phosphate + NAD+ <=> D-Glucono-1,5-lactone 6-phosphate + NADH + H+","Bidirectional","1.1.1.363, 1.1.1.388","K00036","R10907","G6PD","map00030","M00004, M00006, M00008"
"glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","beta-D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+","Bidirectional","1.1.1.49, 1.1.1.363","K00036","R02736","G6PD","map00030","M00004, M00006, M00008"
"glucose-6-phosphate 1-epimerase [EC:5.1.3.15]","alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate","Bidirectional","5.1.3.15, 5.3.1.9","K01792","R02739","E5.1.3.15","map00010, map00030",NA
"glucose-6-phosphate isomerase [EC:5.3.1.9]","D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.9","K01810","R00771","GPI","map00500",NA
"glucose-6-phosphate isomerase [EC:5.3.1.9]","alpha-D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.9","K01810","R13199","GPI","map00010, map00030","M00001, M00004"
"glucose-6-phosphate isomerase [EC:5.3.1.9]","alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate","Bidirectional","5.1.3.15, 5.3.1.9","K01810","R02739","GPI","map00010, map00030","M00001, M00004"
"glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]","D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.9","K06859","R00771","pgi1","map00500",NA
"glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]","alpha-D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.9","K06859","R13199","pgi1","map00010, map00030","M00001, M00004"
"glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]","alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate","Bidirectional","5.1.3.15, 5.3.1.9","K06859","R02739","pgi1","map00010, map00030","M00001, M00004"
"glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360]","D-Galactose + NADP+ <=> D-Galactono-1,5-lactone + NADPH + H+","Bidirectional","1.1.1.48, 1.1.1.120, 1.1.1.359, 1.1.1.360","K18124","R01096","gdh2","map00052",NA
"glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360]","D-Glucose + NADP+ <=> D-Glucono-1,5-lactone + NADPH + H+","Bidirectional","1.1.1.119, 1.1.1.359, 1.1.1.360","K18124","R07147","gdh2","map00030",NA
"glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]","D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.9","K15916","R00771","pgi-pmi","map00500",NA
"glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]","D-Mannose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.8","K15916","R00772","pgi-pmi","map00051",NA
"glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]","alpha-D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.9","K15916","R13199","pgi-pmi","map00010, map00030","M00001, M00004"
"glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]","alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate","Bidirectional","5.1.3.15, 5.3.1.9","K15916","R02739","pgi-pmi","map00010, map00030","M00001, M00004"
"glucuronate isomerase [EC:5.3.1.12]","D-Galacturonate <=> D-Tagaturonate","Bidirectional","5.3.1.12","K01812","R01983","uxaC","map00040","M00061, M00631"
"glucuronate isomerase [EC:5.3.1.12]","D-Glucuronate <=> D-Fructuronate","Bidirectional","5.3.1.12","K01812","R01482","uxaC","map00040","M00061, M00631"
"glucuronokinase [EC:2.7.1.43]","ATP + D-Glucuronate <=> ADP + D-Glucuronate 1-phosphate","Bidirectional","2.7.1.43","K16190","R01476","GLCAK","map00040, map00053","M00014, M00994, M00994"
"glucuronosyltransferase [EC:2.4.1.17]","UDP-glucuronate + H2O <=> UDP + D-Glucuronate","Bidirectional","2.4.1.17","K00699","R08615","UGT","map00053","M00129"
"glucuronosyltransferase [EC:2.4.1.17]","UDP-glucuronate + ROH <=> UDP + beta-D-Glucuronoside","Bidirectional","2.4.1.17","K00699","R01383","UGT","map00040, map00053","M00014, M00129, M00129"
"glutaconate CoA-transferase, subunit A [EC:2.8.3.12], glutaconate CoA-transferase, subunit B [EC:2.8.3.12]","Acetyl-CoA + 2-Hydroxyglutarate <=> Acetate + 2-Hydroxyglutaryl-CoA","Bidirectional","2.8.3.12","K01039, K01040","R04000","gctA, gctB","map00650",NA
"glutaconyl-CoA decarboxylase subunit alpha [EC:7.2.4.5]","Glutaconyl-1-CoA <=> Crotonoyl-CoA + CO2","Bidirectional","1.3.8.6, 7.2.4.5","K01615","R03028","gcdA","map00650",NA
"glutaconyl-CoA/methylmalonyl-CoA decarboxylase subunit gamma, glutaconyl-CoA/methylmalonyl-CoA decarboxylase subunit delta","Glutaconyl-1-CoA <=> Crotonoyl-CoA + CO2","Bidirectional","1.3.8.6, 7.2.4.5","K23351, K23352","R03028","gcdC, gcdD","map00650",NA
"glutamate decarboxylase [EC:4.1.1.15]","L-Glutamate <=> 4-Aminobutanoate + CO2","Bidirectional","4.1.1.15","K01580","R00261","E4.1.1.15","map00650","M00027"
"glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]","L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+","Bidirectional","1.4.1.2, 1.4.1.3, 1.4.1.14","K00261","R00243","GLUD1_2","map00910",NA
"glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]","L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+","Bidirectional","1.4.1.3, 1.4.1.4, 1.4.1.13","K00261","R00248","GLUD1_2","map00910",NA
"glutamate dehydrogenase (NADP+) [EC:1.4.1.4]","L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+","Bidirectional","1.4.1.3, 1.4.1.4, 1.4.1.13","K00262","R00248","E1.4.1.4","map00910",NA
"glutamate dehydrogenase [EC:1.4.1.2]","L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+","Bidirectional","1.4.1.2, 1.4.1.3, 1.4.1.14","K00260","R00243","gudB","map00910",NA
"glutamate dehydrogenase [EC:1.4.1.2]","L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+","Bidirectional","1.4.1.2, 1.4.1.3, 1.4.1.14","K15371","R00243","GDH2","map00910",NA
"glutamate synthase (NADH) [EC:1.4.1.14]","2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+","Bidirectional","1.4.1.14","K00264","R00093","GLT1","map00910",NA
"glutamate synthase (NADPH) large chain [EC:1.4.1.13]","2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+","Bidirectional","1.4.1.13","K00265","R00114","gltB","map00910",NA
"glutamate synthase (NADPH) large chain [EC:1.4.1.13]","L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+","Bidirectional","1.4.1.3, 1.4.1.4, 1.4.1.13","K00265","R00248","gltB","map00910",NA
"glutamate synthase (NADPH) small chain [EC:1.4.1.13]","2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+","Bidirectional","1.4.1.13","K00266","R00114","gltD","map00910",NA
"glutamate synthase (NADPH) small chain [EC:1.4.1.13]","L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+","Bidirectional","1.4.1.3, 1.4.1.4, 1.4.1.13","K00266","R00248","gltD","map00910",NA
"glutamate synthase (ferredoxin) [EC:1.4.7.1]","2 L-Glutamate + 2 Oxidized ferredoxin <=> L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+","Bidirectional","1.4.7.1","K00284","R00021","GLU","map00630, map00910",NA
"glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44]","Glycine + 2-Oxoglutarate <=> Glyoxylate + L-Glutamate","Bidirectional","2.6.1.4, 2.6.1.44","K14272","R00372","GGAT","map00630","M00532"
"glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44]","L-Alanine + 2-Oxoglutarate <=> Pyruvate + L-Glutamate","Bidirectional","2.6.1.2","K14272","R00258","GGAT","map00710","M00171"
"glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44]","L-Alanine + Glyoxylate <=> Pyruvate + Glycine","Bidirectional","2.6.1.44","K14272","R00369","GGAT","map00630","M00532"
"glutamine synthetase [EC:6.3.1.2]","ATP + L-Glutamate + Ammonia <=> ADP + Orthophosphate + L-Glutamine","Bidirectional","6.3.1.2","K01915","R00253","glnA","map00630, map00910",NA
"glutathione dehydrogenase/transferase [EC:1.8.5.1 2.5.1.18]","Dehydroascorbate + 2 Glutathione <=> Glutathione disulfide + Ascorbate","Bidirectional","1.8.5.1","K21888","R01108","DHAR","map00053",NA
"glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]","Formaldehyde + NAD+ + H2O <=> Formate + NADH + H+","Bidirectional","1.2.1.46","K00148","R00604","fdhA","map00680",NA
"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+","Bidirectional","1.2.1.12, 1.2.1.59","K00134","R01061","GAPDH","map00010, map00710","M00001, M00002, M00003, M00165"
"glyceraldehyde dehydrogenase large subunit [EC:1.2.99.8], glyceraldehyde dehydrogenase medium subunit [EC:1.2.99.8], glyceraldehyde dehydrogenase small subunit [EC:1.2.99.8]","D-Glyceraldehyde + H2O + Acceptor <=> D-Glycerate + Reduced acceptor","Bidirectional","1.2.99.8","K18020, K18021, K18022","R10324","cutA, cutB, cutC","map00030","M00309"
"glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+","Bidirectional","1.2.1.12, 1.2.1.59","K00150","R01061","gap2","map00010, map00710","M00001, M00002, M00003, M00165"
"glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","D-Glyceraldehyde 3-phosphate + Orthophosphate + NADP+ <=> 3-Phospho-D-glyceroyl phosphate + NADPH + H+","Bidirectional","1.2.1.13, 1.2.1.59","K00150","R01063","gap2","map00010, map00710","M00001, M00002, M00003, M00165"
"glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]","D-Glyceraldehyde 3-phosphate + Orthophosphate + NADP+ <=> 3-Phospho-D-glyceroyl phosphate + NADPH + H+","Bidirectional","1.2.1.13, 1.2.1.59","K05298","R01063","GAPA","map00010, map00710",NA
"glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]","D-Glyceraldehyde 3-phosphate + NADP+ + H2O <=> 3-Phospho-D-glycerate + NADPH + H+","Bidirectional","1.2.1.9, 1.2.1.90","K00131","R01058","gapN","map00010, map00030",NA
"glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]","D-Glyceraldehyde 3-phosphate + H2O + 2 Oxidized ferredoxin <=> 3-Phospho-D-glycerate + 2 H+ + 2 Reduced ferredoxin","Bidirectional","1.2.7.6","K11389","R07159","gapor","map00010",NA
"glyceraldehyde-3-phosphate dehydrogenase (phosphorylating), spermatogenic [EC:1.2.1.12]","D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+","Bidirectional","1.2.1.12, 1.2.1.59","K10705","R01061","GAPDHS","map00010, map00710",NA
"glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]","D-Glyceraldehyde 3-phosphate + NAD+ + H2O <=> 3-Phospho-D-glycerate + NADH + H+","Bidirectional","1.2.1.90","K18978","R10860","gapN","map00010, map00030",NA
"glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]","D-Glyceraldehyde 3-phosphate + NADP+ + H2O <=> 3-Phospho-D-glycerate + NADPH + H+","Bidirectional","1.2.1.9, 1.2.1.90","K18978","R01058","gapN","map00010, map00030",NA
"glycerate 2-kinase [EC:2.7.1.165]","D-Glycerate + ATP <=> 2-Phospho-D-glycerate + ADP","Bidirectional","2.7.1.165","K00865","R08572","glxK","map00030, map00630, map00680",NA
"glycerate 2-kinase [EC:2.7.1.165]","D-Glycerate + ATP <=> 2-Phospho-D-glycerate + ADP","Bidirectional","2.7.1.165","K11529","R08572","gck","map00030, map00630, map00680",NA
"glycerate dehydrogenase [EC:1.1.1.29]","D-Glycerate + NAD+ <=> Hydroxypyruvate + NADH + H+","Bidirectional","1.1.1.26, 1.1.1.29, 1.1.1.81","K00018","R01388","hprA","map00630, map00680",NA
"glycerate dehydrogenase [EC:1.1.1.29]","D-Glycerate + NAD+ <=> Hydroxypyruvate + NADH + H+","Bidirectional","1.1.1.26, 1.1.1.29, 1.1.1.81","K15893","R01388","HPR1","map00630, map00680",NA
"glycerate dehydrogenase [EC:1.1.1.29]","Glycolate + NAD+ <=> Glyoxylate + NADH + H+","Bidirectional","1.1.1.26, 1.1.1.29","K00018","R00717","hprA","map00630",NA
"glycerate dehydrogenase [EC:1.1.1.29]","Glycolate + NAD+ <=> Glyoxylate + NADH + H+","Bidirectional","1.1.1.26, 1.1.1.29","K15893","R00717","HPR1","map00630","M00532"
"glycerol dehydrogenase [EC:1.1.1.6]","(S)-Lactaldehyde + NAD+ <=> Methylglyoxal + NADH + H+","Bidirectional","1.1.1.6","K00005","R10715","gldA","map00640",NA
"glycerol dehydrogenase [EC:1.1.1.6]","Propane-1,2-diol + NAD+ <=> Hydroxyacetone + NADH + H+","Bidirectional","1.1.1.6","K00005","R10717","gldA","map00640",NA
"glycine cleavage system H protein","Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH + H+","Bidirectional","1.4.1.27","K02437","R01221","gcvH","map00630",NA
"glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]","Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH + H+","Bidirectional","1.4.1.27","K00281","R01221","GLDC","map00630","M00621"
