abbreviation,equation,direction,officialName,geneAssociation,subsystem,reaction_ID,Enzyme,Genes
FMN reductase [EC:1.5.1.38],Methanesulfonic acid + Reduced FMN + Oxygen <=> FMN + Sulfite + H2O + Formaldehyde,Bidirectional,"1.14.14.5, 1.14.14.34",K00299,None,R10206,ssuE,ssuE
alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34],Methanesulfonic acid + Reduced FMN + Oxygen <=> FMN + Sulfite + H2O + Formaldehyde,Bidirectional,"1.14.14.5, 1.14.14.34",K04091,None,R10206,ssuD,ssuD
dimethylsulfoniopropionate demethylase [EC:2.1.1.269],"S,S-Dimethyl-beta-propiothetin + Tetrahydrofolate <=> 3-(Methylthio)propanoate + 5-Methyltetrahydrofolate",Bidirectional,2.1.1.269,K17486,M00990,R10333,dmdA,dmdA
"sulfhydrogenase subunit alpha [EC:1.12.1.3 1.12.1.5], sulfhydrogenase subunit delta [EC:1.12.1.3 1.12.1.5], sulfhydrogenase subunit gamma (sulfur reductase) [EC:1.12.98.4], sulfhydrogenase subunit beta (sulfur reductase) [EC:1.12.98.4]",Hydrogen + Polysulfide(n) <=> Hydrogen sulfide + Polysulfide(n-1),Bidirectional,1.12.98.4,"K17993, K17994, K17995, K17996",None,R10390,"hydA, hydD, hydG, hydB","hydA, hydD, hydG, hydB"
CoA-dependent NAD(P)H sulfur oxidoreductase [EC:1.8.1.18],Hydrogen sulfide + NAD+ <=> Sulfur + NADH + H+,Bidirectional,1.8.1.18,K18367,M00986,R10419,CoADR,CoADR
CoA-dependent NAD(P)H sulfur oxidoreductase [EC:1.8.1.18],Hydrogen sulfide + NADP+ <=> Sulfur + NADPH + H+,Bidirectional,1.8.1.18,K18367,M00986,R10438,CoADR,CoADR
3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44],ATP + 3-(Methylthio)propanoate + CoA <=> AMP + Diphosphate + 3-(Methylthio)propanoyl-CoA,Bidirectional,6.2.1.44,K20034,M00990,R10820,dmdB,dmdB
(methylthio)acryloyl-CoA hydratase [EC:4.2.1.155],3-(Methylthio)acryloyl-CoA + 2 H2O <=> Acetaldehyde + Methanethiol + CoA + CO2,Bidirectional,4.2.1.155,K20036,M00990,R10936,dmdD,dmdD
3-(methylsulfanyl)propanoyl-CoA dehydrogenase [EC:1.3.99.41],3-(Methylthio)propanoyl-CoA + Acceptor <=> 3-(Methylthio)acryloyl-CoA + Reduced acceptor,Bidirectional,1.3.99.41,K20035,M00990,R11130,dmdC,dmdC
"sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6], sulfite dehydrogenase (quinone) subunit SoeB, sulfite dehydrogenase (quinone) subunit SoeC",Sulfite + Quinone + H2O <=> Sulfate + Hydroquinone,Bidirectional,1.8.5.6,"K21307, K21308, K21309",None,R11487,"soeA, soeB, soeC","soeA, soeB, soeC"
methanethiol S-methyltransferase [EC:2.1.1.334],S-Adenosyl-L-methionine + Methanethiol <=> S-Adenosyl-L-homocysteine + Dimethyl sulfide,Bidirectional,2.1.1.334,K21310,None,R11546,mddA,mddA
eukaryotic sulfide quinone oxidoreductase [EC:1.8.5.8],Hydrogen sulfide + Glutathione + Quinone <=> S-Sulfanylglutathione + Hydroquinone,Bidirectional,1.8.5.8,K22470,None,R11929,SQOR,SQOR
2-hydroxy-4-(methylsulfanyl)butanoate S-methyltransferase [EC:2.1.1.373],S-Adenosyl-L-methionine + (2R)-2-Hydroxy-4-(methylsulfanyl)butanoate <=> S-Adenosyl-L-homocysteine + (2R)-4-(Dimethylsulfaniumyl)-2-hydroxybutanoate,Bidirectional,2.1.1.373,K24666,None,R12666,dsyB,dsyB
MTHB methyltransferase / DMSHB decarboxylase,S-Adenosyl-L-methionine + (2R)-2-Hydroxy-4-(methylsulfanyl)butanoate <=> S-Adenosyl-L-homocysteine + (2R)-4-(Dimethylsulfaniumyl)-2-hydroxybutanoate,Bidirectional,2.1.1.373,K28065,None,R12666,dsyGD,dsyGD
tetrathionate hydrolase [EC:3.12.1.-],Tetrathionate + H2O <=> Thiosulfate + Sulfur + Sulfate + H+,Bidirectional,,K27925,M00984,R13400,tetH,tetH
MTHB methyltransferase / DMSHB decarboxylase,"(2R)-4-(Dimethylsulfaniumyl)-2-hydroxybutanoate <=> S,S-Dimethyl-beta-propiothetin",Bidirectional,,K28065,None,R13447,dsyGD,dsyGD
DMSHB decarboxylase,"(2R)-4-(Dimethylsulfaniumyl)-2-hydroxybutanoate <=> S,S-Dimethyl-beta-propiothetin",Bidirectional,,K28066,None,R13447,DSYE,DSYE
DMSP lyase,"S,S-Dimethyl-beta-propiothetin + H2O <=> Dimethyl sulfide + 3-Hydroxypropanoate",Bidirectional,,K28073,M00991,R13452,dddD,dddD
DMSP lyase,"S,S-Dimethyl-beta-propiothetin + ATP + CoA <=> Dimethyl sulfide + Propenoyl-CoA + ADP + Orthophosphate",Bidirectional,,K28072,M00993,R13453,dddX,dddX
CoA transferase,Acrylic acid <=> Propenoyl-CoA,Bidirectional,,K28070,M00992,R13454,acuN,acuN
CoA hydratase,Propenoyl-CoA <=> 3-Hydroxypropanoate,Bidirectional,,K28071,M00992,R13455,acuK,acuK
"adenylylsulfate reductase, subunit A [EC:1.8.99.2], adenylylsulfate reductase, subunit B [EC:1.8.99.2]",Sulfite + NAD+ + AMP <=> Adenylyl sulfate + NADH + H+,Bidirectional,1.8.99.2,"K00394, K00395",None,R00860,"aprA, aprB","aprA, aprB"
"adenylylsulfate reductase, subunit A [EC:1.8.99.2], adenylylsulfate reductase, subunit B [EC:1.8.99.2]",Sulfite + 2 Oxidized ferredoxin + AMP <=> Adenylyl sulfate + 2 Reduced ferredoxin + 2 H+,Bidirectional,1.8.99.2,"K00394, K00395",None,R00860,"aprA, aprB","aprA, aprB"
"[DsrC]-trisulfide reductase subunit M [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit K [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit J, [DsrC]-trisulfide reductase subunit O, [DsrC]-trisulfide reductase subunit P",Hydrogen sulfide + Protein dithiol + 2 NAD+ <=> Protein-trisulfide + 2 NADH + 2 H+,Bidirectional,1.8.5.10,"K27187, K27188, K27189, K27190, K27191",M00596,R13227,"dsrM, dsrK, dsrJ, dsrO, dsrP","dsrM, dsrK, dsrJ, dsrO, dsrP"
"[DsrC]-trisulfide reductase subunit M [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit K [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit J, [DsrC]-trisulfide reductase subunit O, [DsrC]-trisulfide reductase subunit P",Hydrogen sulfide + Protein dithiol + 4 Oxidized ferredoxin <=> Protein-trisulfide + 4 Reduced ferredoxin + 4 H+,Bidirectional,1.8.5.10,"K27187, K27188, K27189, K27190, K27191",M00596,R13227,"dsrM, dsrK, dsrJ, dsrO, dsrP","dsrM, dsrK, dsrJ, dsrO, dsrP"
